id,term,positive_score,nagative_score
"87","가라사대다","0.00009","0.00004"
"88","가라앉다","0.00221","0.00229"
"89","가라앉히다","0.00079","0.00072"
"90","가라지","0.00002","0.00007"
"91","가라타니","0.00002","0.00007"
"92","가라테","0.00005","0.00000"
"93","가락","0.01607","0.01280"
"94","가락지","0.00006","0.00000"
"95","가란","0.00003","0.00046"
"96","가람","0.00044","0.00050"
"97","가랑","0.00091","0.00036"
"98","가랑이","0.00009","0.00004"
"99","가래","0.00036","0.00021"
"100","가량","0.00161","0.00179"
"101","가레","0.00002","0.00011"
"102","가려","0.00013","0.00025"
"103","가려내다","0.00067","0.00068"
"104","가려먹다","0.00006","0.00004"
"105","가려보다","0.00005","0.00004"
"106","가려뽑다","0.00003","0.00000"
"107","가려움","0.00016","0.00014"
"108","가련","0.00002","0.00000"
"109","가렴","0.00003","0.00000"
"110","가렵다","0.00096","0.00082"
"111","가령","0.00243","0.00333"
"112","가례","0.00003","0.00004"
"113","가로","0.00311","0.00254"
"114","가로놓이다","0.00005","0.00000"
"115","가로다","0.00008","0.00004"
"116","가로막다","0.00133","0.00147"
"117","가로막히다","0.00024","0.00032"
"118","가로수","0.00011","0.00011"
"119","가로쓰","0.00002","0.00004"
"120","가로젓다","0.00007","0.00004"
"121","가로지르다","0.00095","0.00072"
"122","가로채다","0.00045","0.00029"
"123","가록","0.00002","0.00007"
"124","가루","0.00628","0.00325"
"125","가루이자와","0.00004","0.00007"
"126","가륜","0.00003","0.00000"
"127","가르","0.00010","0.00000"
"128","가르다","0.00366","0.00318"
"129","가르랑","0.00007","0.00018"
"130","가르릉","0.00003","0.00000"
"131","가르마","0.00003","0.00000"
"132","가르시아","0.00005","0.00000"
"133","가르치다","0.03470","0.02618"
"134","가르침","0.00872","0.00658"
"135","가르키다","0.00365","0.00325"
"136","가를","0.00002","0.00000"
"137","가름","0.00073","0.00107"
"138","가릉","0.00002","0.00000"
"139","가리","0.00107","0.00082"
"140","가리다","0.01240","0.01277"
"141","가리봉","0.00004","0.00000"
"142","가리비","0.00010","0.00014"
"143","가리우다","0.00011","0.00007"
"144","가리치다","0.00003","0.00004"
"145","가리키다","0.00160","0.00175"
"146","가림","0.00138","0.00086"
"147","가림토","0.00007","0.00007"
"148","가마","0.00137","0.00097"
"149","가마니","0.00007","0.00007"
"150","가마새","0.00002","0.00000"
"151","가마우지","0.00007","0.00000"
"152","가마쿠라","0.00018","0.00011"
"153","가만","0.00136","0.00100"
"154","가만가만","0.00025","0.00021"
"155","가만두다","0.00016","0.00011"
"156","가만이","0.00005","0.00004"
"157","가만있다","0.00020","0.00014"
"158","가만히","0.00886","0.00844"
"159","가망","0.00045","0.00021"
"160","가맹","0.00036","0.00025"
"161","가메","0.00003","0.00000"
"162","가메오카","0.00011","0.00004"
"163","가면","0.00349","0.00275"
"164","가명","0.00069","0.00018"
"165","가모","0.00006","0.00011"
"166","가모우","0.00003","0.00000"
"167","가몬","0.00003","0.00004"
"168","가묘","0.00002","0.00000"
"169","가무","0.00008","0.00007"
"170","가문","0.00512","0.00622"
"171","가문비","0.00083","0.00014"
"172","가물","0.00011","0.00011"
"173","가물가물","0.00135","0.00100"
"174","가물거리다","0.00013","0.00007"
"175","가물다","0.00064","0.00075"
"176","가물치","0.00005","0.00000"
"177","가뭄","0.00132","0.00100"
"178","가미","0.00330","0.00329"
"179","가미야","0.00012","0.00000"
"180","가미카제","0.00004","0.00011"
"181","가민","0.00007","0.00000"
"182","가바","0.00003","0.00004"
"183","가발","0.00042","0.00007"
"184","가방","0.01284","0.00901"
"185","가버","0.00002","0.00000"
"186","가버나움","0.00003","0.00000"
"187","가버리다","0.00006","0.00000"
"188","가베","0.00015","0.00014"
"189","가벼이","0.00042","0.00057"
"190","가벽","0.00006","0.00004"
"191","가변","0.00017","0.00007"
"192","가볍다","0.03406","0.07198"
"193","가보","0.00010","0.00000"
"194","가보세","0.00002","0.00000"
"195","가본","0.00026","0.00007"
"196","가부","0.00238","0.00207"
"197","가부키","0.00005","0.00000"
"198","가부키초","0.00005","0.00004"
"199","가분","0.00055","0.00050"
"200","가불","0.00003","0.00007"
"201","가브리엘","0.00037","0.00075"
"202","가브리엘라","0.00011","0.00046"
"203","가비","0.00045","0.00004"
"204","가비알","0.00002","0.00004"
"205","가빠지다","0.00009","0.00007"
"206","가뿐히","0.00014","0.00018"
"207","가쁘다","0.00117","0.00097"
"208","가사","0.00555","0.00515"
"209","가사오카","0.00002","0.00000"
"210","가산","0.00034","0.00021"
"211","가상","0.00827","0.00840"
"212","가서","0.00002","0.00000"
"213","가서도","0.00003","0.00000"
"214","가선","0.00001","0.00011"
"215","가설","0.00241","0.00386"
"216","가성","0.00008","0.00004"
"217","가세","0.00044","0.00021"
"218","가소","0.00028","0.00057"
"219","가소롭다","0.00002","0.00011"
"220","가소성","0.00005","0.00000"
"221","가속","0.00137","0.00129"
"222","가솔린","0.00013","0.00000"
"223","가수","0.00383","0.00468"
"224","가스","0.00515","0.00322"
"225","가스라기","0.00002","0.00000"
"226","가스미","0.00010","0.00004"
"227","가스트","0.00015","0.00000"
"228","가스파르","0.00016","0.00004"
"229","가슴","0.06306","0.04449"
"230","가습","0.00054","0.00018"
"231","가시","0.00462","0.00479"
"232","가시나","0.00009","0.00007"
"233","가시다","0.00264","0.00247"
"234","가시리","0.00002","0.00000"
"235","가식","0.00109","0.00125"
"236","가신","0.00014","0.00021"
"237","가실","0.00004","0.00004"
"238","가심","0.00008","0.00014"
"239","가십","0.00016","0.00018"
"240","가십걸","0.00004","0.00007"
"241","가쓰라","0.00003","0.00004"
"242","가쓰라기","0.00009","0.00004"
"243","가쓰미","0.00003","0.00000"
"244","가쓰오","0.00005","0.00004"
"245","가쓰오부시","0.00003","0.00000"
"246","가쓰히코","0.00004","0.00000"
"247","가아더","0.00007","0.00007"
"248","가액","0.00014","0.00046"
"249","가야","0.00074","0.00057"
"250","가야노","0.00003","0.00000"
"251","가야마","0.00008","0.00007"
"252","가야지","0.00018","0.00007"
"253","가약","0.00003","0.00004"
"254","가양","0.00002","0.00000"
"255","가어","0.00002","0.00000"
"256","가언","0.00002","0.00000"
"257","가업","0.00044","0.00039"
"258","가에데","0.00004","0.00004"
"259","가에타노","0.00002","0.00000"
"260","가엘","0.00003","0.00000"
"261","가여","0.00004","0.00004"
"262","가역","0.00011","0.00014"
"263","가연","0.00015","0.00007"
"264","가열","0.00024","0.00029"
"265","가열차다","0.00004","0.00018"
"266","가엽다","0.00068","0.00057"
"267","가엾다","0.00071","0.00097"
"268","가영","0.00039","0.00018"
"269","가오","0.00004","0.00000"
"270","가오루","0.00015","0.00004"
"271","가오루코","0.00002","0.00000"
"272","가오리","0.00241","0.00651"
"273","가오슝","0.00005","0.00011"
"274","가옥","0.00058","0.00032"
"275","가온","0.00034","0.00007"
"276","가와","0.00012","0.00000"
"277","가와구치","0.00004","0.00000"
"278","가와무라","0.00021","0.00007"
"279","가와미나미","0.00005","0.00000"
"280","가와바타","0.00026","0.00004"
"281","가와사키","0.00003","0.00000"
"282","가와시마","0.00007","0.00000"
"283","가와이","0.00034","0.00036"
"284","가와치","0.00003","0.00000"
"285","가와카미","0.00004","0.00007"
"286","가왕","0.00011","0.00004"
"287","가외","0.00003","0.00000"
"288","가요","0.00607","0.00529"
"289","가요코","0.00015","0.00072"
"290","가용","0.00015","0.00021"
"291","가우","0.00010","0.00011"
"292","가우디","0.00125","0.00064"
"293","가우스","0.00025","0.00029"
"294","가우초","0.00004","0.00014"
"295","가운","0.00045","0.00032"
"296","가운데","0.02178","0.01806"
"297","가운뎃","0.00002","0.00011"
"298","가위","0.00276","0.00157"
"299","가위눌리다","0.00002","0.00004"
"300","가위바위보","0.00087","0.00089"
"301","가은","0.00009","0.00007"
"302","가을","0.01423","0.01112"
"303","가의","0.00245","0.00186"
"304","가이","0.00015","0.00018"
"305","가이다","0.00003","0.00000"
"306","가이드","0.01682","0.01244"
"307","가이먼","0.00002","0.00000"
"308","가이아","0.00016","0.00014"
"309","가이우스","0.00012","0.00000"
"310","가인","0.00021","0.00029"
"311","가임","0.00019","0.00029"
"312","가입","0.00478","0.00601"
"313","가자","0.00017","0.00011"
"314","가자니가","0.00003","0.00000"
"315","가자마","0.00003","0.00004"
"316","가자미","0.00015","0.00018"
"317","가작","0.00005","0.00004"
"318","가장","0.20785","0.17959"
"319","가재","0.00053","0.00050"
"320","가재미","0.00007","0.00014"
"321","가저","0.00002","0.00000"
"322","가적","0.00003","0.00000"
"323","가전","0.00112","0.00075"
"324","가점","0.00008","0.00007"
"325","가정","0.03513","0.03133"
"326","가정맹어호","0.00002","0.00000"
"327","가제","0.00008","0.00011"
"328","가제트","0.00005","0.00000"
"329","가젤","0.00081","0.00000"
"330","가져가다","0.00542","0.00433"
"331","가져다주다","0.00282","0.00286"
"332","가져오다","0.01361","0.01362"
"333","가족","0.12792","0.09573"
"334","가죽","0.00179","0.00197"
"335","가중","0.00093","0.00225"
"336","가즈","0.00014","0.00007"
"337","가즈마","0.00006","0.00000"
"338","가즈마사","0.00002","0.00000"
"339","가즈미","0.00016","0.00021"
"340","가즈아키","0.00013","0.00004"
"341","가즈야","0.00014","0.00021"
"342","가즈오","0.00120","0.00179"
"343","가즈코","0.00027","0.00018"
"344","가즈키","0.00057","0.00046"
"345","가즈토","0.00005","0.00021"
"346","가즈히로","0.00014","0.00011"
"347","가즈히코","0.00002","0.00050"
"348","가증","0.00003","0.00000"
"349","가지","0.02359","0.02224"
"350","가지가다","0.00002","0.00004"
"351","가지다","0.27667","0.25772"
"352","가지런히","0.00041","0.00025"
"353","가지마","0.00006","0.00000"
"354","가직","0.00003","0.00004"
"355","가질","0.00005","0.00011"
"356","가짐","0.00790","0.00783"
"357","가짓","0.00022","0.00021"
"358","가짜","0.00549","0.00501"
"359","가차","0.00033","0.00025"
"360","가차없이","0.00037","0.00050"
"361","가창","0.00009","0.00000"
"362","가채","0.00002","0.00000"
"363","가책","0.00043","0.00061"
"364","가천","0.00003","0.00000"
"365","가청","0.00002","0.00000"
"366","가체","0.00003","0.00000"
"367","가추","0.00009","0.00004"
"368","가축","0.00141","0.00046"
"369","가출","0.00262","0.00336"
"370","가츠키","0.00002","0.00000"
"371","가치","0.07443","0.08082"
"372","가치세","0.00009","0.00011"
"373","가치주","0.00008","0.00004"
"374","가친","0.00002","0.00000"
"375","가쿠","0.00013","0.00011"
"376","가쿠다","0.00012","0.00004"
"377","가쿠타","0.00007","0.00014"
"378","가키자와","0.00002","0.00000"
"379","가타","0.00021","0.00039"
"380","가타카","0.00005","0.00000"
"381","가타카나","0.00019","0.00014"
"382","가탈","0.00015","0.00000"
"383","가택","0.00006","0.00014"
"384","가터","0.00002","0.00004"
"385","가토","0.00023","0.00032"
"386","가톨릭","0.00117","0.00122"
"387","가통","0.00023","0.00000"
"388","가트","0.00009","0.00007"
"389","가트너","0.00003","0.00000"
"390","가트맨","0.00013","0.00000"
"391","가파","0.00013","0.00000"
"392","가파르다","0.00053","0.00050"
"393","가판","0.00012","0.00018"
"394","가펑클","0.00005","0.00000"
"395","가편","0.00003","0.00000"
"396","가평","0.00005","0.00011"
"397","가풍","0.00010","0.00025"
"398","가프다","0.00002","0.00004"
"399","가필","0.00003","0.00007"
"400","가하","0.00002","0.00004"
"401","가하다","0.00168","0.00193"
"402","가학","0.00025","0.00025"
"403","가함","0.00002","0.00007"
"404","가해","0.00537","0.00551"
"405","가형","0.00002","0.00004"
"406","가호","0.00007","0.00025"
"407","가혹","0.00229","0.00229"
"408","가화","0.00009","0.00011"
"409","가회","0.00002","0.00000"
"410","가후","0.00007","0.00004"
"411","가훈","0.00035","0.00061"
"412","가희","0.00028","0.00000"
"413","가히","0.00192","0.00186"
"414","각가","0.00007","0.00004"
"415","각각","0.02364","0.02092"
"416","각개","0.00007","0.00000"
"417","각계","0.00053","0.00043"
"418","각고","0.00025","0.00036"
"419","각골","0.00002","0.00004"
"420","각과","0.00004","0.00000"
"421","각관","0.00015","0.00029"
"422","각광","0.00132","0.00093"
"423","각국","0.00273","0.00286"
"424","각궁","0.00002","0.00004"
"425","각권","0.00015","0.00036"
"426","각급","0.00004","0.00000"
"427","각기","0.00547","0.00404"
"428","각다","0.00019","0.00007"
"429","각도","0.00271","0.00254"
"430","각론","0.00019","0.00039"
"431","각료","0.00004","0.00007"
"432","각루","0.00002","0.00000"
"433","각류","0.00003","0.00004"
"434","각막","0.00014","0.00011"
"435","각목","0.00004","0.00014"
"436","각반","0.00003","0.00000"
"437","각방","0.00010","0.00000"
"438","각별","0.00081","0.00054"
"439","각별히","0.00021","0.00011"
"440","각본","0.00075","0.00114"
"441","각본상","0.00002","0.00000"
"442","각부","0.00003","0.00000"
"443","각사","0.00005","0.00004"
"444","각색","0.00255","0.00426"
"445","각생","0.00001","0.00007"
"446","각서","0.00014","0.00011"
"447","각설","0.00038","0.00086"
"448","각설이","0.00003","0.00007"
"449","각성","0.00171","0.00200"
"450","각수","0.00002","0.00000"
"451","각시","0.00123","0.00039"
"452","각시탈","0.00004","0.00000"
"453","각신","0.00022","0.00018"
"454","각심","0.00002","0.00004"
"455","각양","0.00085","0.00089"
"456","각오","0.00271","0.00236"
"457","각운","0.00002","0.00000"
"458","각의","0.00023","0.00029"
"459","각이","0.00022","0.00014"
"460","각인","0.00318","0.00333"
"461","각자","0.02417","0.02160"
"462","각장","0.00056","0.00039"
"463","각정","0.00002","0.00000"
"464","각종","0.01268","0.01119"
"465","각주","0.00098","0.00272"
"466","각지","0.00112","0.00097"
"467","각지다","0.00002","0.00004"
"468","각질","0.00019","0.00018"
"469","각처","0.00006","0.00004"
"470","각체","0.00003","0.00004"
"471","각축","0.00020","0.00011"
"472","각층","0.00041","0.00036"
"473","각하","0.00021","0.00007"
"474","각형","0.00004","0.00004"
"475","간가","0.00001","0.00011"
"476","간간","0.00003","0.00007"
"477","간간이","0.00075","0.00143"
"478","간간히","0.00185","0.00311"
"479","간걸","0.00001","0.00014"
"480","간격","0.00158","0.00243"
"481","간결","0.00045","0.00072"
"482","간결히","0.00004","0.00011"
"483","간경","0.00003","0.00011"
"484","간계","0.00011","0.00011"
"485","간고","0.00002","0.00000"
"486","간곡히","0.00009","0.00007"
"487","간과","0.00350","0.00401"
"488","간교","0.00013","0.00007"
"489","간구","0.00020","0.00004"
"490","간극","0.00131","0.00168"
"491","간기능","0.00003","0.00004"
"492","간나","0.00003","0.00000"
"493","간난","0.00011","0.00011"
"494","간년","0.00002","0.00004"
"495","간다","0.00014","0.00004"
"496","간다라","0.00003","0.00000"
"497","간단","0.00006","0.00000"
"498","간단히","0.00512","0.00586"
"499","간달프","0.00003","0.00004"
"500","간담","0.00024","0.00046"
"501","간당","0.00005","0.00000"
"502","간당간당","0.00004","0.00021"
"503","간대","0.00003","0.00000"
"504","간도","0.00018","0.00018"
"505","간독","0.00005","0.00000"
"506","간두","0.00004","0.00007"
"507","간디","0.00042","0.00039"
"508","간략","0.00027","0.00046"
"509","간략히","0.00092","0.00143"
"510","간만","0.00091","0.00064"
"511","간만에","0.00005","0.00000"
"512","간명","0.00002","0.00007"
"513","간바라","0.00009","0.00046"
"514","간발","0.00009","0.00007"
"515","간병","0.00076","0.00086"
"516","간본","0.00005","0.00007"
"517","간부","0.00066","0.00068"
"518","간빙","0.00002","0.00000"
"519","간사","0.00027","0.00021"
"520","간서","0.00017","0.00014"
"521","간선","0.00007","0.00018"
"522","간섭","0.00237","0.00190"
"523","간소","0.00004","0.00004"
"524","간송","0.00063","0.00018"
"525","간수","0.00023","0.00021"
"526","간스케","0.00005","0.00000"
"527","간식","0.00637","0.00340"
"528","간신","0.00030","0.00011"
"529","간신히","0.00176","0.00232"
"530","간아","0.00005","0.00014"
"531","간암","0.00015","0.00011"
"532","간언","0.00006","0.00007"
"533","간여","0.00004","0.00000"
"534","간염","0.00016","0.00025"
"535","간웅","0.00012","0.00029"
"536","간음","0.00021","0.00018"
"537","간이","0.00014","0.00014"
"538","간이치","0.00002","0.00000"
"539","간자","0.00006","0.00004"
"540","간장","0.00204","0.00107"
"541","간적","0.00004","0.00004"
"542","간절히","0.00465","0.00415"
"543","간접","0.00767","0.00851"
"544","간정","0.00002","0.00000"
"545","간조","0.00005","0.00004"
"546","간주","0.00123","0.00164"
"547","간증","0.00044","0.00082"
"548","간지","0.00079","0.00064"
"549","간지럼","0.00036","0.00014"
"550","간지럽다","0.00063","0.00054"
"551","간지럽히다","0.00014","0.00014"
"552","간지르다","0.00006","0.00014"
"553","간직","0.00984","0.00812"
"554","간질","0.00048","0.00036"
"555","간질간질","0.00070","0.00046"
"556","간질거리다","0.00007","0.00011"
"557","간질다","0.00002","0.00000"
"558","간질이다","0.00011","0.00004"
"559","간척","0.00019","0.00025"
"560","간첩","0.00063","0.00079"
"561","간청","0.00022","0.00021"
"562","간체","0.00009","0.00007"
"563","간추리다","0.00101","0.00118"
"564","간칭","0.00008","0.00000"
"565","간택","0.00028","0.00075"
"566","간토","0.00005","0.00000"
"567","간통","0.00032","0.00046"
"568","간파","0.00135","0.00161"
"569","간판","0.00145","0.00150"
"570","간편히","0.00006","0.00007"
"571","간평","0.00004","0.00007"
"572","간행","0.00038","0.00064"
"573","간헐","0.00192","0.00150"
"574","간호","0.00621","0.00375"
"575","간혹","0.00487","0.00712"
"576","간화","0.00004","0.00014"
"577","간힘","0.00090","0.00143"
"578","갇히다","0.01007","0.00958"
"579","갈가리","0.00005","0.00018"
"580","갈겨니","0.00002","0.00000"
"581","갈고닦다","0.00021","0.00029"
"582","갈고리","0.00020","0.00011"
"583","갈구","0.00145","0.00161"
"584","갈구다","0.00005","0.00011"
"585","갈급","0.00017","0.00021"
"586","갈기","0.00034","0.00029"
"587","갈기갈기","0.00015","0.00014"
"588","갈기다","0.00019","0.00032"
"589","갈다","0.24726","0.21560"
"590","갈대","0.00012","0.00011"
"591","갈등","0.01997","0.02035"
"592","갈라","0.00002","0.00004"
"593","갈라놓다","0.00031","0.00046"
"594","갈라서다","0.00010","0.00014"
"595","갈라지다","0.00146","0.00161"
"596","갈라치다","0.00004","0.00000"
"597","갈라테이아","0.00002","0.00011"
"598","갈라파고스","0.00020","0.00032"
"599","갈래","0.00141","0.00150"
"600","갈래갈래","0.00002","0.00000"
"601","갈런드","0.00008","0.00000"
"602","갈레","0.00013","0.00004"
"603","갈레노스","0.00002","0.00004"
"604","갈로","0.00004","0.00004"
"605","갈루스","0.00002","0.00000"
"606","갈루아","0.00002","0.00018"
"607","갈리","0.00010","0.00007"
"608","갈리다","0.00212","0.00454"
"609","갈리아","0.00012","0.00011"
"610","갈릭","0.00004","0.00007"
"611","갈릴레오","0.00063","0.00079"
"612","갈릴레이","0.00059","0.00089"
"613","갈릴리","0.00010","0.00000"
"614","갈림","0.00108","0.00050"
"615","갈만","0.00026","0.00036"
"616","갈망","0.00379","0.00458"
"617","갈매","0.00008","0.00000"
"618","갈매기","0.00251","0.00197"
"619","갈무리","0.00045","0.00064"
"620","갈바","0.00003","0.00000"
"621","갈바니","0.00002","0.00000"
"622","갈밭","0.00010","0.00007"
"623","갈변","0.00005","0.00000"
"624","갈비","0.00105","0.00111"
"625","갈빗","0.00002","0.00004"
"626","갈색","0.00219","0.00136"
"627","갈수록","0.00064","0.00186"
"628","갈아끼우다","0.00002","0.00000"
"629","갈아먹다","0.00004","0.00000"
"630","갈아엎다","0.00014","0.00025"
"631","갈아입다","0.00096","0.00057"
"632","갈아입히다","0.00009","0.00007"
"633","갈아주다","0.00021","0.00011"
"634","갈아치우다","0.00010","0.00004"
"635","갈아타다","0.00054","0.00046"
"636","갈의","0.00003","0.00011"
"637","갈이","0.00059","0.00043"
"638","갈증","0.00194","0.00215"
"639","갈채","0.00021","0.00021"
"640","갈취","0.00029","0.00018"
"641","갈치","0.00027","0.00011"
"642","갈치다","0.00002","0.00000"
"643","갈퀴","0.00028","0.00011"
"644","갈키다","0.00002","0.00014"
"645","갈파","0.00005","0.00007"
"646","갈팔질팡","0.00001","0.00007"
"647","갈팡지팡","0.00086","0.00086"
"648","갈피","0.00208","0.00179"
"649","갈호","0.00011","0.00000"
"650","갉다","0.00037","0.00021"
"651","갉아먹다","0.00086","0.00097"
"652","갉작갉작","0.00003","0.00000"
"653","감가","0.00022","0.00036"
"654","감각","0.01626","0.01552"
"655","감감","0.00010","0.00018"
"656","감개","0.00011","0.00004"
"657","감격","0.00106","0.00093"
"658","감경","0.00002","0.00007"
"659","감고","0.00014","0.00011"
"660","감과","0.00012","0.00011"
"661","감관","0.00003","0.00000"
"662","감귤","0.00015","0.00004"
"663","감금","0.00095","0.00093"
"664","감기","0.00609","0.00336"
"665","감기다","0.00070","0.00050"
"666","감내","0.00141","0.00154"
"667","감녕","0.00003","0.00000"
"668","감다","0.00660","0.00744"
"669","감단","0.00009","0.00007"
"670","감당","0.00599","0.00579"
"671","감도","0.00072","0.00129"
"672","감독","0.00728","0.00905"
"673","감독상","0.00002","0.00000"
"674","감돈","0.00012","0.00014"
"675","감돌다","0.00076","0.00086"
"676","감동","0.05019","0.04255"
"677","감등","0.00002","0.00004"
"678","감람","0.00002","0.00004"
"679","감량","0.00151","0.00118"
"680","감력","0.00028","0.00039"
"681","감로","0.00004","0.00014"
"682","감류","0.00003","0.00000"
"683","감리","0.00013","0.00004"
"684","감마","0.00015","0.00004"
"685","감면","0.00020","0.00032"
"686","감명","0.00204","0.00229"
"687","감명깊다","0.00120","0.00172"
"688","감미","0.00066","0.00075"
"689","감미료","0.00004","0.00000"
"690","감바","0.00003","0.00000"
"691","감방","0.00020","0.00029"
"692","감별","0.00014","0.00007"
"693","감보","0.00003","0.00000"
"694","감복","0.00012","0.00014"
"695","감비아","0.00008","0.00000"
"696","감사","0.04532","0.03050"
"697","감사절","0.00013","0.00011"
"698","감사히","0.00065","0.00039"
"699","감상","0.01463","0.01634"
"700","감색","0.00004","0.00000"
"701","감성","0.02081","0.02600"
"702","감세","0.00015","0.00018"
"703","감소","0.00350","0.00404"
"704","감속","0.00009","0.00007"
"705","감수","0.00909","0.01177"
"706","감시","0.00366","0.00411"
"707","감식","0.00027","0.00014"
"708","감싸다","0.00413","0.00283"
"709","감싸안다","0.00047","0.00029"
"710","감싸이다","0.00006","0.00004"
"711","감안","0.00245","0.00604"
"712","감언","0.00021","0.00011"
"713","감열","0.00002","0.00004"
"714","감염","0.00246","0.00107"
"715","감염병","0.00021","0.00011"
"716","감영","0.00005","0.00004"
"717","감옥","0.00551","0.00608"
"718","감우","0.00002","0.00000"
"719","감원","0.00007","0.00004"
"720","감은","0.00004","0.00000"
"721","감은사지","0.00002","0.00000"
"722","감읍","0.00002","0.00000"
"723","감응","0.00021","0.00029"
"724","감이","0.00021","0.00021"
"725","감자","0.00612","0.00393"
"726","감자칩","0.00015","0.00004"
"727","감장","0.00002","0.00000"
"728","감저","0.00002","0.00004"
"729","감적","0.00002","0.00000"
"730","감전","0.00018","0.00011"
"731","감점","0.00014","0.00061"
"732","감정","0.10467","0.10681"
"733","감정기","0.00005","0.00000"
"734","감지","0.00256","0.00197"
"735","감지덕지","0.00008","0.00007"
"736","감질","0.00014","0.00021"
"737","감질나다","0.00012","0.00021"
"738","감짝","0.00004","0.00000"
"739","감쪽같다","0.00004","0.00004"
"740","감쪽같이","0.00067","0.00057"
"741","감찰","0.00016","0.00018"
"742","감천","0.00006","0.00011"
"743","감청","0.00003","0.00007"
"744","감초","0.00033","0.00032"
"745","감촉","0.00038","0.00029"
"746","감추다","0.01146","0.01151"
"747","감축","0.00020","0.00018"
"748","감춘","0.00003","0.00000"
"749","감출","0.00002","0.00007"
"750","감치","0.00006","0.00011"
"751","감치다","0.00020","0.00014"
"752","감칠","0.00060","0.00068"
"753","감탄","0.01424","0.01076"
"754","감통","0.00004","0.00000"
"755","감퇴","0.00024","0.00011"
"756","감투","0.00038","0.00032"
"757","감편","0.00003","0.00000"
"758","감하다","0.00010","0.00018"
"759","감행","0.00157","0.00200"
"760","감형","0.00011","0.00021"
"761","감호","0.00004","0.00000"
"762","감호소","0.00002","0.00004"
"763","감화","0.00023","0.00043"
"764","감회","0.00065","0.00072"
"765","감흥","0.00164","0.00687"
"766","감히","0.00532","0.00540"
"767","갑각","0.00014","0.00004"
"768","갑갑","0.00002","0.00000"
"769","갑골","0.00011","0.00004"
"770","갑과","0.00018","0.00004"
"771","갑남을녀","0.00002","0.00000"
"772","갑론을박","0.00010","0.00007"
"773","갑부","0.00045","0.00068"
"774","갑사","0.00002","0.00000"
"775","갑산","0.00004","0.00000"
"776","갑상","0.00027","0.00011"
"777","갑수","0.00005","0.00004"
